name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Anna Tsyganova,w,2007,6 Sep 93,166,NA,https://cs.wikipedia.org/wiki/Anna_Cyganovová,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=8428&cat=2,https://www.ifsc-climbing.org/athlete/73/anna-tsyganova,8.670,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Elisabetta Brida,w,2015,4 Aug 00,NA,NA,https://www.ifsc-climbing.org/athlete/935/elisabetta-dalla-brida,NA,NA,fall,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Elma Fleuret,w,2013,28 Nov 99,NA,NA,https://www.ifsc-climbing.org/athlete/510/elma-fleuret,NA,NA,9.190,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Elizaveta Ivanova,w,2013,29 Dec 99,NA,NA,https://www.ifsc-climbing.org/athlete/129/elizaveta-ivanova,NA,NA,fall,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Aleksandra Mirosław,w,2009,2 Feb 94,162,49,https://www.ifsc-climbing.org/athlete/2848/aleksandra-miroslaw,https://en.wikipedia.org/wiki/Aleksandra_Miros%C5%82aw,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=9493&cat=59,8.580,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Victoire Andrier,w,2013,16 Feb 96,170,NA,https://results.european-games.org/pdf/EG2023/CLB/EG2023_CLB_C32C_CLB-------------------------------.pdf,https://www.ifsc-climbing.org/athlete/511/victoire-andrier,NA,10.310,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Klaudia Buczek,w,2008,30 Apr 91,164,50,https://www.ifsc-climbing.org/athlete/2847/klaudia-buczek,https://cs.wikipedia.org/wiki/Klaudia_Buczek,NA,8.630,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Nina Lach,w,2011,2 Aug 95,NA,NA,https://www.ifsc-climbing.org/athlete/1233/nina-lach,NA,NA,9.350,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anouck Jaubert,w,2011,27 Jan 94,169,60,https://www.ifsc-climbing.org/athlete/479/anouck-jaubert,https://en.wikipedia.org/wiki/Anouck_Jaubert,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10354&cat=24,8.190,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Tamara Ulzhabayeva,w,NA,4 Aug 87,NA,NA,https://www.ifsc-climbing.org/search?q=Tamara Ulzhabayeva,NA,NA,9.430,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aurelia Sarisson,w,2012,21 Dec 97,167,NA,https://www.ifsc-climbing.org/athlete/488/aurelia-sarisson,https://www.wikidata.org/wiki/Q97169068,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n14692787-sarisson-aurelia.htm,fall,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,NA
Daria Kan,w,2012,28 Sep 98,NA,NA,https://www.wikidata.org/wiki/Q56676371,https://www.ifsc-climbing.org/athlete/112/daria-kan,NA,9.150,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Iuliia Kaplina,w,2011,11 May 93,165,53,https://www.ifsc-climbing.org/athlete/110/iuliia-kaplina,https://en.wikipedia.org/wiki/Iuliia_Kaplina,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10857&cat=24,8.260,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Alla Marenych,w,2012,26 Jun 88,167,56,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=11299&cat=24,https://www.ifsc-climbing.org/athlete/1493/alla-marenych,NA,9.080,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anna Brożek,w,2011,27 Mar 95,NA,NA,https://www.ifsc-climbing.org/athlete/2855/anna-brozek,https://www.wikidata.org/wiki/Q56611612,NA,9.140,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Patrycja Chudziak,w,2011,2 Jul 97,168,NA,https://www.ifsc-climbing.org/athlete/2857/patrycja-chudziak,https://www.wikidata.org/wiki/Q56676131,NA,9.040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Reza Alipour,m,2011,29 Apr 94,170,76,https://www.ifsc-climbing.org/athlete/3471/reza-alipour-shenazandifard,https://en.wikipedia.org/wiki/Reza_Alipour,NA,6.170,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Kostiantyn Pavlenko,m,2012,11 Aug 98,182,NA,https://www.ifsc-climbing.org/athlete/1492/kostiantyn-pavlenko,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n6515295-pavlenko-kostiantyn.htm,NA,6.340,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Leonardo Gontero,m,2009,11 Dec 93,171,60,https://www.ifsc-climbing.org/athlete/856/leonardo-gontero,https://it.wikipedia.org/wiki/Leonardo_Gontero,NA,6.370,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Zhong Qixin,m,2006,7 Apr 89,170,NA,https://www.ifsc-climbing.org/athlete/2929/qixin-zhong,https://en.wikipedia.org/wiki/Zhong_Qixin,https://www.wikidata.org/wiki/Q3412492,fall,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandr Shikov,m,2011,1 Apr 97,NA,NA,https://www.ifsc-climbing.org/athlete/109/aleksandr-shikov,NA,NA,6.460,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Jan Kříž,m,2010,11 Feb 96,190,NA,https://www.ifsc-climbing.org/athlete/1372/jan-kriz,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n14721711-kriz-jan.htm,NA,fall,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,NA,NA
Stanislav Kokorin,m,2007,22 Jan 90,172,67,https://www.ifsc-climbing.org/athlete/74/stanislav-kokorin,https://en.wikipedia.org/wiki/Stanislav_Kokorin,NA,6.260,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Dmitrii Timofeev,m,2011,7 Mar 93,NA,NA,https://www.ifsc-climbing.org/athlete/105/dmitrii-timofeev,https://www.wikidata.org/wiki/Q27985547,NA,6.310,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Danyil Boldyrev,m,2006,15 May 92,190,78,https://www.ifsc-climbing.org/athlete/1480/danyil-boldyrev,https://en.wikipedia.org/wiki/Danyil_Boldyrev,NA,6.300,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
