name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Zhong Qixin,m,2006,7 Apr 89,170,NA,https://www.ifsc-climbing.org/athlete/2929/qixin-zhong,https://en.wikipedia.org/wiki/Zhong_Qixin,https://www.wikidata.org/wiki/Q3412492,7.100,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Marcin Dzieński,m,2007,22 Jan 93,166,65,https://www.ifsc-climbing.org/athlete/2845/marcin-dzienski,https://ifsc.results.info/athlete/2845,https://www.8a.nu/news/marcin-dzienski-the-fastest-climber-in-the-world,6.360,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Libor Hroza,m,2002,30 May 87,187,72,https://cs.wikipedia.org/wiki/Libor_Hroza,NA,NA,6.700,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
Isaac Estevez,m,2007,25 May 92,NA,NA,https://www.ifsc-climbing.org/athlete/3208/isaac-estevez,NA,NA,7.920,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Nikita Suyushkin,m,2008,3 Aug 94,NA,NA,https://www.ifsc-climbing.org/athlete/78/nikita-suyushkin,NA,NA,6.770,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Evgenii Vaitsekhovskii,m,2003,12 May 86,182,83,https://www.ifsc-climbing.org/athlete/56/evgenii-vaitsekhovskii,https://www.wikidata.org/wiki/Q466612,NA,6.550,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
Stanislav Kokorin,m,2007,22 Jan 90,172,67,https://www.ifsc-climbing.org/athlete/74/stanislav-kokorin,https://en.wikipedia.org/wiki/Stanislav_Kokorin,NA,6.490,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandr Shikov,m,2011,1 Apr 97,NA,NA,https://www.ifsc-climbing.org/athlete/109/aleksandr-shikov,NA,NA,7.460,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Bassa Mawem,m,1997,9 Nov 84,184,77,https://www.ifsc-climbing.org/athlete/7613/bassa-mawem,https://en.wikipedia.org/wiki/Bassa_Mawem,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=6&cat=1,6.170,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Arsenii Shevchenko,m,2009,16 May 90,NA,NA,https://www.ifsc-climbing.org/athlete/86/arsenii-shevchenko,NA,NA,7.340,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
