name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Long Cao,m,2018,18 May 00,NA,NA,https://www.ifsc-climbing.org/athlete/11414/long-cao,NA,NA,6.44,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Jan Kříž,m,2010,11 Feb 96,190,NA,https://www.ifsc-climbing.org/athlete/1372/jan-kriz,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n14721711-kriz-jan.htm,NA,6.13,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
Vladislav Deulin,m,2011,5 May 94,NA,NA,https://www.ifsc-climbing.org/athlete/98/vladislav-deulin,https://en.wikipedia.org/wiki/Vladislav_Deulin,NA,5.61,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Zhong Qixin,m,2006,7 Apr 89,170,NA,https://www.ifsc-climbing.org/athlete/2929/qixin-zhong,https://en.wikipedia.org/wiki/Zhong_Qixin,https://www.wikidata.org/wiki/Q3412492,5.58,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Amir Maimuratov,m,2009,19 Jul 95,182,NA,https://www.ifsc-climbing.org/athlete/3362/amir-maimuratov,https://en.wikipedia.org/wiki/Amir_Maimuratov,NA,fall,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Ludovico Fossali,m,2011,21 May 97,185,74,https://www.ifsc-climbing.org/athlete/865/ludovico-fossali,https://en.wikipedia.org/wiki/Ludovico_Fossali,https://tokyo2020.coni.it/en/italia-team/scheda_atleta/1804-LUDOVICO_FOSSALI.html,5.90,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
Bassa Mawem,m,1997,9 Nov 84,184,77,https://www.ifsc-climbing.org/athlete/7613/bassa-mawem,https://en.wikipedia.org/wiki/Bassa_Mawem,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=6&cat=1,7.47,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Rishat Khaibullin,m,2009,21 Sep 95,169,56,https://www.ifsc-climbing.org/athlete/3361/rishat-khaibullin,https://en.wikipedia.org/wiki/Rishat_Khaibullin,NA,7.01,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Danyil Boldyrev,m,2006,15 May 92,190,78,https://www.ifsc-climbing.org/athlete/1480/danyil-boldyrev,https://en.wikipedia.org/wiki/Danyil_Boldyrev,NA,5.94,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
ZhiYong Ou,m,NA,18 Apr 94,NA,NA,https://www.ifsc-climbing.org/athlete/2951/zhiyong-ou,NA,NA,6.07,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
