Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,VLADISLAV,DEULIN,RUS,6.170,5.91,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
2,STANISLAV,KOKORIN,RUS,6.240,5.96,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
3,DANYIL,BOLDYREV,UKR,6.040,5.62,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
4,BASSA,MAWEM,FRA,6.370,6.88,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
5,ALEKSANDR,SHIKOV,RUS,6.380,5.92,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
6,LEONARDO,GONTERO,ITA,6.250,6.16,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
7,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.080,6.44,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
8,LIBOR,HROZA,CZE,6.170,7.80,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
9,QIXIN,ZHONG,CHN,6.380,6.30,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
10,GEORGY,ARTAMONOV,RUS,6.550,6.38,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
11,PENGHUI,LIN,CHN,6.820,6.61,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
12,JINXIN,LI,CHN,6.570,6.72,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
13,ARSENII,BOGOMOLOV,RUS,6.660,7.76,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
14,KOSTIANTYN,PAVLENKO,UKR,6.400,8.00,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
15,ALEKSANDR,SHILOV,RUS,6.690,8.64,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
16,LUDOVICO,FOSSALI,ITA,6.620,fall,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
17,YONGSU,LEE,KOR,6.910,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
18,MARCIN,DZIENSKI,POL,7.000,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
19,ALESSANDRO,SANTONI,ITA,7.060,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
20,DICHONG,HUANG,CHN,7.110,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
21,SUNGJOON,CHAE,KOR,7.230,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
22,ALIMZHAN,MYRZABEKOV,KAZ,7.340,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
23,ARTYOM,DEVYATERIKOV,KAZ,7.750,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
24,ALEXEY,MOLCHANOV,KAZ,7.760,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
25,FENGQI,WANG,CHN,7.930,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
26,CHI-FUNG,AU,HKG,7.990,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
27,JONGSEOK,SON,KOR,8.150,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
28,ALEXEY,PANFILOV,KAZ,8.220,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
29,ANDREY,YURIN,KAZ,8.300,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
30,SEAN,MCCOLL,CAN,8.450,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
31,SHUANGXI,MO,CHN,8.500,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
32,SUNGBO,SEO,KOR,8.620,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
33,YUFEI,PAN,CHN,9.140,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
34,KA-CHUN,YAU,HKG,10.020,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
35,JAVIER,CANO BLAZQUEZ,ESP,10.080,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
36,SERGIO,VERDASCO URIZAL,ESP,10.390,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
37,CHEUNG-CHI SHOJI,CHAN,HKG,10.400,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
38,HEI-YEUNG,LAM,HKG,10.470,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
39,JONATAN,FLOR VAZQUEZ,ESP,11.260,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
40,SERGIO,PASTOR MARTÍNEZ,ESP,11.430,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
41,POL,ROCA LOPEZ,ESP,11.560,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
42,JABEE,KIM,KOR,11.960,,Chongqing_(CHN)_2017,22 April - 23 April 2017,Men
1,IULIIA,KAPLINA,RUS,7.920,7.54,Chongqing_(CHN)_2017,22 April - 23 April 2017,Women
2,MARIIA,KRASAVINA,RUS,8.490,7.87,Chongqing_(CHN)_2017,22 April - 23 April 2017,Women
