Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,STANISLAV,KOKORIN,RUS,6.480,10.00,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
2,LIBOR,HROZA,CZE,6.540,fall,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
3,QIXIN,ZHONG,CHN,6.540,6.22,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
4,MARCIN,DZIENSKI,POL,6.600,6.45,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
5,DANYIL,BOLDYREV,UKR,6.950,6.47,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
6,YAROSLAV,GONTARYK,UKR,6.870,6.58,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
7,DMITRII,TIMOFEEV,RUS,6.560,6.59,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
8,LUKASZ,SWIRK,POL,6.760,7.80,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
9,LEONARDO,GONTERO,ITA,6.990,6.86,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
10,YUHANG,ZHANG,CHN,8.520,7.74,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
11,JEDRZEJ,KOMOSINSKI,POL,7.200,8.09,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
12,SAYAT,BOKANOV,KAZ,7.620,8.20,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
13,ALEXEY,NAZAROV,KAZ,8.840,8.31,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
14,VOLODYMYR,ZINCHENKO,UKR,7.050,8.75,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
15,GUANGDONG,LI,CHN,7.650,9.58,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
16,GUANGFENG,LI,CHN,8.300,10.95,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
17,LINCAI,ZHONG,CHN,9.930,,Chongqing_(CHN)_2013,22 March - 23 March 2013,Men
1,ALEKSANDRA,MIROSLAW,POL,8.940,8.43,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
2,YULIYA,LEVOCHKINA,RUS,8.980,9.93,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
3,IULIIA,KAPLINA,RUS,8.980,8.44,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
4,ANOUCK,JAUBERT,FRA,9.270,8.93,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
5,EDYTA,ROPEK,POL,9.290,8.90,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
6,MARGOT,HEITZ,FRA,9.820,9.35,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
7,MARIIA,KRASAVINA,RUS,9.580,9.56,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
8,ESTHER,BRUCKNER,FRA,9.040,12.60,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
9,ALINA,GAIDAMAKINA,RUS,9.470,9.70,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
10,YANG,WANG,CHN,10.290,9.71,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
11,NATALIA,IAKOVLEVA,RUS,10.070,9.90,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
12,NATALIA,TITOVA,RUS,10.320,10.20,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
13,TAMARA,ULZHABAYEVA,KAZ,10.090,10.31,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
14,KLAUDIA,BUCZEK,POL,9.520,10.32,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
15,CUILIAN,HE,CHN,10.890,11.55,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
16,MONIKA,PROKOPIUK-KAWECKA,POL,10.300,13.27,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
17,WEILING,YANG,CHN,11.310,,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
18,KATHARINA,SAURWEIN,AUT,17.090,,Chongqing_(CHN)_2013,22 March - 23 March 2013,Women
1,STANISLAV,KOKORIN,RUS,6.630,6.28,Baku_(AZE)_2013,22 June - 23 June 2013,Men
2,YAROSLAV,GONTARYK,UKR,6.400,6.75,Baku_(AZE)_2013,22 June - 23 June 2013,Men
3,LEONARDO,GONTERO,ITA,6.430,6.66,Baku_(AZE)_2013,22 June - 23 June 2013,Men
4,DMITRII,TIMOFEEV,RUS,6.390,8.18,Baku_(AZE)_2013,22 June - 23 June 2013,Men
5,EVGENII,VAITSEKHOVSKII,RUS,6.420,6.54,Baku_(AZE)_2013,22 June - 23 June 2013,Men
6,LUKASZ,SWIRK,POL,6.800,7.16,Baku_(AZE)_2013,22 June - 23 June 2013,Men
7,DANYIL,BOLDYREV,UKR,6.460,7.18,Baku_(AZE)_2013,22 June - 23 June 2013,Men
8,YOANN,LE COUSTER,FRA,7.270,7.21,Baku_(AZE)_2013,22 June - 23 June 2013,Men
9,MARCIN,DZIENSKI,POL,6.650,6.44,Baku_(AZE)_2013,22 June - 23 June 2013,Men
10,JEDRZEJ,KOMOSINSKI,POL,6.810,6.61,Baku_(AZE)_2013,22 June - 23 June 2013,Men
11,EDUARD,SABITOV,RUS,7.230,7.30,Baku_(AZE)_2013,22 June - 23 June 2013,Men
12,EVGENY,ASTASHKIN,RUS,6.930,7.52,Baku_(AZE)_2013,22 June - 23 June 2013,Men
13,SERGEI,SINITCYN,RUS,7.000,8.02,Baku_(AZE)_2013,22 June - 23 June 2013,Men
14,BASSA,MAWEM,FRA,6.630,8.47,Baku_(AZE)_2013,22 June - 23 June 2013,Men
15,LIBOR,HROZA,CZE,6.360,fall,Baku_(AZE)_2013,22 June - 23 June 2013,Men
16,GUILLAUME,MORO,FRA,6.990,fall,Baku_(AZE)_2013,22 June - 23 June 2013,Men
17,ARSENII,SHEVCHENKO,RUS,7.410,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
18,ALEXEY,MOLCHANOV,KAZ,7.560,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
19,VIACHESLAV,VEDENCHUK,RUS,7.660,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
20,GIGA,JANKHOTELI,GEO,9.320,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
21,CINGIZ,TAGIZADE,AZE,11.680,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
22,ALMATSGIR,KVITSIANI,GEO,12.370,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
23,RINAT,RAHIMKHANOV,AZE,13.450,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
24,GIORGI,GOMIASHVILI,GEO,13.530,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
25,MAMUKA,KHUTSISHVILI,GEO,13.670,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
26,SEYMUR,CAMALZADE,AZE,16.140,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
27,GALIB,SHIKHRAHIMOV,AZE,16.650,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
28,BABEK,IBADOV,AZE,17.530,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
29,YASIN,ALI,PAK,18.000,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
30,TEYMUR,MAKSUTOV,AZE,20.800,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
31,AMIL,ALIYEV,AZE,20.860,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
32,CHINGIZ,TAGHIZADE,AZE,22.130,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
33,ZOHRAB,SHAHBALAYE,AZE,24.790,,Baku_(AZE)_2013,22 June - 23 June 2013,Men
1,IULIIA,KAPLINA,RUS,8.590,8.08,Baku_(AZE)_2013,22 June - 23 June 2013,Women
2,ALINA,GAIDAMAKINA,RUS,8.630,8.27,Baku_(AZE)_2013,22 June - 23 June 2013,Women
3,ALEKSANDRA,MIROSLAW,POL,9.080,8.64,Baku_(AZE)_2013,22 June - 23 June 2013,Women
4,MARGOT,HEITZ,FRA,9.200,9.69,Baku_(AZE)_2013,22 June - 23 June 2013,Women
5,KLAUDIA,BUCZEK,POL,9.190,9.17,Baku_(AZE)_2013,22 June - 23 June 2013,Women
6,ANOUCK,JAUBERT,FRA,9.490,9.24,Baku_(AZE)_2013,22 June - 23 June 2013,Women
7,MARIIA,KRASAVINA,RUS,8.830,10.08,Baku_(AZE)_2013,22 June - 23 June 2013,Women
8,YULIYA,LEVOCHKINA,RUS,9.270,11.44,Baku_(AZE)_2013,22 June - 23 June 2013,Women
9,ANASTASIYA,SAVISKO,UKR,9.700,9.27,Baku_(AZE)_2013,22 June - 23 June 2013,Women
10,TAMARA,ULZHABAYEVA,KAZ,9.840,9.53,Baku_(AZE)_2013,22 June - 23 June 2013,Women
11,ALLA,MARENYCH,UKR,9.880,9.68,Baku_(AZE)_2013,22 June - 23 June 2013,Women
12,ANASTASIIA,GOLIKOVA,RUS,9.820,10.03,Baku_(AZE)_2013,22 June - 23 June 2013,Women
13,STEFANIE,PICHLER,AUT,9.820,10.06,Baku_(AZE)_2013,22 June - 23 June 2013,Women
14,ALEXANDRA,ELMER,AUT,10.090,10.40,Baku_(AZE)_2013,22 June - 23 June 2013,Women
15,ANNA,BROZEK,POL,11.090,11.26,Baku_(AZE)_2013,22 June - 23 June 2013,Women
16,ALIYA,ISKAKOVA,KAZ,15.070,15.52,Baku_(AZE)_2013,22 June - 23 June 2013,Women
17,KONUL,HUSEYNOVA,AZE,27.980,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
18,AYSEL,SULTANOVA,AZE,40.870,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
19,DIANA VADIM,HANINA,AZE,45.330,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
20,SIMA,SEFEROVA,AZE,48.350,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
21,REYHAN,MAMMADOVA,AZE,57.810,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
22,AYTEN,PIRALIYEVA,AZE,fall,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
22,MONIKA,PROKOPIUK-KAWECKA,POL,fall,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
22,SEMS,QULIYEVA,AZE,fall,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
22,SAFAROVA,SIMA,AZE,fall,,Baku_(AZE)_2013,22 June - 23 June 2013,Women
1,LIBOR,HROZA,CZE,6.130,5.99,Arco_(ITA)_2013,7 September - 7 September 2013,Men
2,QIXIN,ZHONG,CHN,6.410,6.27,Arco_(ITA)_2013,7 September - 7 September 2013,Men
3,STANISLAV,KOKORIN,RUS,6.490,6.24,Arco_(ITA)_2013,7 September - 7 September 2013,Men
4,MARCIN,DZIENSKI,POL,6.500,6.34,Arco_(ITA)_2013,7 September - 7 September 2013,Men
5,JEDRZEJ,KOMOSINSKI,POL,6.630,6.53,Arco_(ITA)_2013,7 September - 7 September 2013,Men
6,EVGENII,VAITSEKHOVSKII,RUS,6.540,6.55,Arco_(ITA)_2013,7 September - 7 September 2013,Men
7,SERGEI,SINITCYN,RUS,6.800,6.80,Arco_(ITA)_2013,7 September - 7 September 2013,Men
8,LEONARDO,GONTERO,ITA,6.580,7.46,Arco_(ITA)_2013,7 September - 7 September 2013,Men
9,YAROSLAV,GONTARYK,UKR,6.880,6.56,Arco_(ITA)_2013,7 September - 7 September 2013,Men
10,ARSENII,SHEVCHENKO,RUS,6.960,6.79,Arco_(ITA)_2013,7 September - 7 September 2013,Men
11,LUKASZ,SWIRK,POL,6.890,6.80,Arco_(ITA)_2013,7 September - 7 September 2013,Men
12,YOANN,LE COUSTER,FRA,6.990,7.15,Arco_(ITA)_2013,7 September - 7 September 2013,Men
13,ALESSANDRO,SANTONI,ITA,7.220,7.22,Arco_(ITA)_2013,7 September - 7 September 2013,Men
14,DANYIL,BOLDYREV,UKR,6.860,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Men
15,LINCAI,ZHONG,CHN,7.250,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Men
16,VOLODYMYR,ZINCHENKO,UKR,7.310,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Men
17,KOSTIANTYN,PODCHESOV,UKR,7.340,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
18,QUENTIN,NAMBOT,FRA,7.380,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
19,ANTON,POLIAKOV,RUS,7.420,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
20,GUILLAUME,MORO,FRA,7.470,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
21,YEVGENIY,CHELOMBYTKO,UKR,7.750,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
22,STANISLAO,ZAMA,ITA,7.910,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
23,JAN,KRIZ,CZE,7.920,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
24,GIANLUCA,SIROTTI,ITA,7.960,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
25,ALESSANDRO,BOULOS,ITA,8.030,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
26,LUDOVICO,FOSSALI,ITA,8.210,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
27,DAVIDE,BUOSO,ITA,8.610,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
28,SEAN,MCCOLL,CAN,8.830,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
29,GIGA,JANKHOTELI,GEO,9.300,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
30,OLEKSIY,YURKO,UKR,fall,,Arco_(ITA)_2013,7 September - 7 September 2013,Men
1,ALINA,GAIDAMAKINA,RUS,8.710,8.78,Arco_(ITA)_2013,7 September - 7 September 2013,Women
2,MARIIA,KRASAVINA,RUS,8.900,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Women
3,KSENIYA,POLEKHINA,RUS,10.790,8.61,Arco_(ITA)_2013,7 September - 7 September 2013,Women
4,ANOUCK,JAUBERT,FRA,8.910,9.04,Arco_(ITA)_2013,7 September - 7 September 2013,Women
5,IULIIA,KAPLINA,RUS,10.070,8.65,Arco_(ITA)_2013,7 September - 7 September 2013,Women
6,ANNA,TSYGANOVA,RUS,9.010,9.38,Arco_(ITA)_2013,7 September - 7 September 2013,Women
7,MONIKA,PROKOPIUK-KAWECKA,POL,9.480,9.45,Arco_(ITA)_2013,7 September - 7 September 2013,Women
8,YULIYA,LEVOCHKINA,RUS,9.750,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Women
9,ALLA,MARENYCH,UKR,10.110,10.04,Arco_(ITA)_2013,7 September - 7 September 2013,Women
10,STEFANIE,PICHLER,AUT,10.220,10.72,Arco_(ITA)_2013,7 September - 7 September 2013,Women
11,EDYTA,ROPEK,POL,9.950,11.50,Arco_(ITA)_2013,7 September - 7 September 2013,Women
12,ANASTASIYA,ZAICHENKO,UKR,14.060,12.66,Arco_(ITA)_2013,7 September - 7 September 2013,Women
13,MARTINA,ZANETTI,ITA,13.020,13.26,Arco_(ITA)_2013,7 September - 7 September 2013,Women
14,KATHARINA,SAURWEIN,AUT,17.150,15.22,Arco_(ITA)_2013,7 September - 7 September 2013,Women
15,KLAUDIA,BUCZEK,POL,8.950,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Women
16,PATRYCJA,CHUDZIAK,POL,10.410,fall,Arco_(ITA)_2013,7 September - 7 September 2013,Women
17,MARGOT,HEITZ,FRA,fall,,Arco_(ITA)_2013,7 September - 7 September 2013,Women
