Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,BASSA,MAWEM,FRA,5.699,5.73,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
2,VLADISLAV,DEULIN,RUS,5.874,11.54,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
3,ASPAR,ASPAR,INA,5.838,6.08,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
4,LONG,CAO,CHN,5.731,10.00,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
5,ALEKSANDR,SHIKOV,RUS,6.096,7.12,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
6,SERGEI,RUKIN,RUS,5.809,7.26,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
7,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.826,7.58,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
8,DMITRII,TIMOFEEV,RUS,5.913,fall,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
9,ALEKSANDR,SHILOV,RUS,6.207,6.06,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
10,STANISLAV,KOKORIN,RUS,6.163,6.094,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
11,AMIR,MAIMURATOV,KAZ,6.083,6.096,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
12,GIAN LUCA,ZODDA,ITA,6.230,6.31,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
13,GEORGY,ARTAMONOV,RUS,6.162,6.80,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
14,LUDOVICO,FOSSALI,ITA,6.157,6.96,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
15,JAN,KRIZ,CZE,6.222,7.66,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
16,LEV,RUDATSKIY,RUS,6.138,7.68,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
17,MARCIN,DZIENSKI,POL,6.236,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
18,FATCHUR,ROJI,INA,6.242,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
19,ARSENII,BOGOMOLOV,RUS,6.246,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
20,JOE,GOODACRE,USA,6.270,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
21,NIKOLAI,IARILOVETS,RUS,6.284,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
22,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,6.288,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
23,MICKAEL,MAWEM,FRA,6.344,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
24,ALFIAN,MUHAMMAD FAJRI,INA,6.362,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
25,EHSAN,ASRAR,IRI,6.418,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
26,CARLOS,GRANJA,ECU,6.544,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
27,SERGEI,LUZHETSKII,RUS,6.679,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
28,LUKAS,KNAPP,AUT,6.707,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
29,KEITA,DOHI,JPN,6.831,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
30,RISHAT,KHAIBULLIN,KAZ,6.878,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
31,JOSH,LEVIN,USA,6.898,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
32,MANUEL,CORNU,FRA,6.900,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
33,YUFEI,PAN,CHN,6.903,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
34,DANNY,VALENCIA,ECU,6.996,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
35,MATTHIAS,ERBER,AUT,7.014,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
36,JAN,HOJER,GER,7.016,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
37,ALISHER,MURAT,KAZ,7.076,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
38,SAM,AVEZOU,FRA,7.153,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
39,MICHAEL,PICCOLRUAZ,ITA,7.168,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
40,SEAN,MCCOLL,CAN,7.170,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
41,JAKOB,SCHUBERT,AUT,7.211,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
42,KOKORO,FUJII,JPN,7.247,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
43,ALEKSEY,RUBTSOV,RUS,7.276,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
44,RUDOLPH,RUANA,USA,7.319,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
45,CESAR,GROSSO,BRA,7.329,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
46,TAISEI,ISHIMATSU,JPN,7.353,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
47,JOHN,BROSLER,USA,7.395,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
48,CHEUNG-CHI SHOJI,CHAN,HKG,7.410,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
49,REI,SUGIMOTO,JPN,7.502,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
50,SASCHA,LEHMANN,SUI,7.597,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
51,ODE RIFALDI,RIDJAYA,INA,7.684,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
52,YANNICK,FLOHÉ,GER,7.689,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
53,JERNEJ,KRUDER,SLO,7.711,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
54,WILLIAM,BOSI,GBR,7.725,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
55,ALIMZHAN,MYRZABEKOV,KAZ,7.733,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
56,WILLIAM,RIDAL,GBR,7.736,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
57,GEORG,PARMA,AUT,7.761,,Moscow_(RUS)_2019,12 April - 14 April 2019,Men
