Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,DMITRII,TIMOFEEV,RUS,6.000,wildcard,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
2,LIBOR,HROZA,CZE,6.470,false start,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
3,DANYIL,BOLDYREV,UKR,6.800,5.87,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
4,MARCIN,DZIENSKI,POL,6.210,7.56,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
5,EVGENII,VAITSEKHOVSKII,RUS,6.570,6.81,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
6,BASSA,MAWEM,FRA,6.070,7.30,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
7,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.000,fall,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
8,STANISLAV,KOKORIN,RUS,6.320,fall,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
9,YULIANTO,ABUDZAR,INA,6.910,6.59,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
10,SUFRIYANTO,RINDI,INA,6.850,6.65,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
11,ALESSANDRO,SANTONI,ITA,6.900,6.66,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
12,ALEKSANDR,SHILOV,RUS,6.610,7.45,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
13,LEONARDO,GONTERO,ITA,6.810,7.73,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
14,ZHIYONG,OU,CHN,6.630,8.55,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
15,HAMIDREZA,TOOZANDEHJANI,IRI,6.830,9.74,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
16,ALEKSANDR,SHIKOV,RUS,6.340,false start,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
17,PANDU ASMORO,GALAR,INA,6.950,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
18,JAN,KRIZ,CZE,7.160,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
19,MICHAL,LEWICKI,POL,7.330,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
20,SUNGJOON,CHAE,KOR,7.340,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
21,MORTEZA,MOHAMMADI,IRI,7.390,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
22,ZHIXUAN,CHEN,CHN,7.530,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
23,ZIDA,MA,CHN,7.730,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
24,PENGHUI,LIN,CHN,7.780,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
25,SEAN,MCCOLL,CAN,7.820,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
26,IGOR,TYAPKIN,UKR,7.940,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
27,YURONG,DUAN,CHN,8.200,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
28,TOMASZ,SORDYL,POL,8.610,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
29,HAIBIN,QU,CHN,8.660,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
30,YUFEI,PAN,CHN,8.990,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
31,YOSHIYUKI,OGATA,JPN,9.330,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
32,CHI-FUNG,AU,HKG,9.920,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
33,YERZHAN,BEISEMBAYEV,KAZ,10.910,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
34,CHEUNG-CHI SHOJI,CHAN,HKG,11.360,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
35,KEITA,WATABE,JPN,fall,,Chongqing_(CHN)_2016,30 April - 1 May 2016,Men
1,IULIIA,KAPLINA,RUS,8.470,8.63,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
2,KLAUDIA,BUCZEK,POL,8.770,10.16,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
3,ALEKSANDRA,MIROSLAW,POL,9.620,10.38,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
4,PURNAMASARI,ITA TRIANA,INA,9.560,10.41,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
5,ANOUCK,JAUBERT,FRA,8.520,8.31,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
6,EDYTA,ROPEK,POL,8.920,9.19,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
7,ALLA,MARENYCH,UKR,9.610,9.38,Chongqing_(CHN)_2016,30 April - 1 May 2016,Women
