Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,SERGEI,SINITCYN,RUS,22.700,18.56,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
2,EVGENII,VAITSEKHOVSKII,RUS,23.360,20.66,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
3,MAKSYM,STYENKOVYY,UKR,23.620,2.00,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
4,SERGEY,ABDRAKHMANOV,RUS,24.710,fall,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
5,JEDRZEJ,KOMOSINSKI,POL,26.400,20.40,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
6,KOSTIANTYN,PODCHESOV,UKR,26.780,21.56,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
7,JAKUB,POCIECHA,POL,25.890,28.90,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
8,TOMASZ,OLEKSY,POL,24.480,fall,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
9,LUKASZ,SWIRK,POL,25.170,22.85,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
10,LEONEL,DE LAS SALAS,VEN,27.630,23.28,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
11,ZUFAR,NIGMANOV,RUS,29.090,24.85,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
12,MACIEJ,KALITA,POL,27.200,25.40,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
13,MAKSYM,OSIPOV,UKR,26.100,26.50,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
14,CSABA,KOMONDI,HUN,26.660,27.36,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
15,OLEKSANDR,SALIMOV,UKR,29.500,29.58,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
16,STANISLAV,KOKORIN,RUS,26.870,fall,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
17,YAROSLAV,TOPAL,UKR,33.140,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
18,MATEUSZ,PUZON,POL,33.230,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
19,MARTIN,SIFRA,CZE,34.650,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
20,GYULA,JUHASZ,HUN,40.430,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
21,GERGÕ,MOLNAR,HUN,44.460,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
22,JOSMAR,NIEVES,VEN,fall,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
22,OLEKSIY,YURKO,UKR,fall,,Tarnow_(POL)_2009,18 April - 19 April 2009,Men
1,ANNA,STENKOVAYA,RUS,32.090,32.80,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
2,EDYTA,ROPEK,POL,33.050,fall,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
3,SVITLANA,TUZHYLINA,UKR,35.680,29.17,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
4,KLAUDIA,BUCZEK,POL,37.670,32.92,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
5,KSENIIA,ALEKSEEVA,RUS,38.620,33.42,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
6,ALINA,GAIDAMAKINA,RUS,39.290,34.12,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
7,VALENTINA,YURINA,RUS,38.900,34.61,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
8,EKATERINA,BOYARSKIKH,RUS,45.230,36.83,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
9,OLENA,RYEPKO,UKR,40.120,36.72,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
10,ANASTASIYA,SAVISKO,UKR,39.180,37.63,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
11,YULIYA,LEVOCHKINA,RUS,45.660,38.22,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
