Rank,Name,,Country,Qualification,Final,event_name,date,gender
12,MONIKA,PROKOPIUK-KAWECKA,POL,40.470,39.77,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
13,OLEKSANDRA,BUD GUSAIM,UKR,40.710,40.17,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
14,KATARZYNA,WICHA,POL,45.520,42.58,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
15,KARINA,MIROSLAW,POL,46.040,44.44,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
16,LUCELIA,BLANCO,VEN,35.720,fall,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
17,KATARZYNA,MIROSLAW,POL,48.240,,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
18,MALGORZATA,RUDZINSKA,POL,49.030,,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
19,RADIANA,MANEVA,BUL,58.530,,Tarnow_(POL)_2009,18 April - 19 April 2009,Women
1,SERGEY,ABDRAKHMANOV,RUS,8.970,7.67,Trento_(ITA)_2009,25 April - 26 April 2009,Men
2,CSABA,KOMONDI,HUN,8.920,9.34,Trento_(ITA)_2009,25 April - 26 April 2009,Men
3,QIXIN,ZHONG,CHN,9.340,7.41,Trento_(ITA)_2009,25 April - 26 April 2009,Men
4,STANISLAV,KOKORIN,RUS,9.400,7.82,Trento_(ITA)_2009,25 April - 26 April 2009,Men
5,MAKSYM,STYENKOVYY,UKR,7.630,7.40,Trento_(ITA)_2009,25 April - 26 April 2009,Men
6,LIBOR,HROZA,CZE,8.210,8.36,Trento_(ITA)_2009,25 April - 26 April 2009,Men
7,SERGEI,SINITCYN,RUS,8.290,8.48,Trento_(ITA)_2009,25 April - 26 April 2009,Men
8,NING,ZHANG,CHN,8.690,9.15,Trento_(ITA)_2009,25 April - 26 April 2009,Men
9,EVGENII,VAITSEKHOVSKII,RUS,9.200,7.48,Trento_(ITA)_2009,25 April - 26 April 2009,Men
10,LUKASZ,SWIRK,POL,9.890,8.24,Trento_(ITA)_2009,25 April - 26 April 2009,Men
11,MAKSYM,OSIPOV,UKR,10.030,8.82,Trento_(ITA)_2009,25 April - 26 April 2009,Men
12,JEDRZEJ,KOMOSINSKI,POL,9.030,8.83,Trento_(ITA)_2009,25 April - 26 April 2009,Men
13,LEONEL,DE LAS SALAS,VEN,9.910,8.85,Trento_(ITA)_2009,25 April - 26 April 2009,Men
14,LUCAS,PRETI,ITA,9.570,9.05,Trento_(ITA)_2009,25 April - 26 April 2009,Men
15,GUANGPU,LI,CHN,9.550,9.23,Trento_(ITA)_2009,25 April - 26 April 2009,Men
16,OLEKSIY,YURKO,UKR,9.910,9.23,Trento_(ITA)_2009,25 April - 26 April 2009,Men
17,MICHEL,SIROTTI,ITA,10.460,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
18,JOSMAR,NIEVES,VEN,10.760,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
19,LEONARDO,GONTERO,ITA,12.090,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
20,MARTIN,SIFRA,CZE,13.240,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
21,STEFANO,GHISOLFI,ITA,13.920,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
22,GYULA,JUHASZ,HUN,14.210,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
23,GERGÕ,MOLNAR,HUN,15.310,,Trento_(ITA)_2009,25 April - 26 April 2009,Men
1,ANNA,STENKOVAYA,RUS,11.680,11.30,Trento_(ITA)_2009,25 April - 26 April 2009,Women
2,EDYTA,ROPEK,POL,12.040,13.21,Trento_(ITA)_2009,25 April - 26 April 2009,Women
3,CHUNHUA,LI,CHN,12.030,10.92,Trento_(ITA)_2009,25 April - 26 April 2009,Women
4,CUIFANG,HE,CHN,11.640,12.12,Trento_(ITA)_2009,25 April - 26 April 2009,Women
5,CUILIAN,HE,CHN,12.530,11.05,Trento_(ITA)_2009,25 April - 26 April 2009,Women
6,KSENIIA,ALEKSEEVA,RUS,14.020,11.14,Trento_(ITA)_2009,25 April - 26 April 2009,Women
7,LUCELIA,BLANCO,VEN,12.790,12.47,Trento_(ITA)_2009,25 April - 26 April 2009,Women
8,ALINA,GAIDAMAKINA,RUS,14.040,14.74,Trento_(ITA)_2009,25 April - 26 April 2009,Women
9,YULIYA,LEVOCHKINA,RUS,16.000,11.93,Trento_(ITA)_2009,25 April - 26 April 2009,Women
10,SVITLANA,TUZHYLINA,UKR,15.180,12.08,Trento_(ITA)_2009,25 April - 26 April 2009,Women
11,VALENTINA,YURINA,RUS,13.560,12.60,Trento_(ITA)_2009,25 April - 26 April 2009,Women
12,ANASTASIYA,SAVISKO,UKR,14.940,13.59,Trento_(ITA)_2009,25 April - 26 April 2009,Women
13,OLENA,RYEPKO,UKR,13.250,13.96,Trento_(ITA)_2009,25 April - 26 April 2009,Women
14,MONIKA,PROKOPIUK-KAWECKA,POL,15.400,14.64,Trento_(ITA)_2009,25 April - 26 April 2009,Women
15,EKATERINA,BOYARSKIKH,RUS,15.390,15.66,Trento_(ITA)_2009,25 April - 26 April 2009,Women
16,JESSICA,MORANDI,ITA,17.470,15.67,Trento_(ITA)_2009,25 April - 26 April 2009,Women
17,ANNA,GISLIMBERTI,ITA,17.590,,Trento_(ITA)_2009,25 April - 26 April 2009,Women
18,MALGORZATA,RUDZINSKA,POL,19.920,,Trento_(ITA)_2009,25 April - 26 April 2009,Women
19,RADIANA,MANEVA,BUL,26.130,,Trento_(ITA)_2009,25 April - 26 April 2009,Women
1,QIXIN,ZHONG,CHN,4.010,6.64,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
2,SERGEY,ABDRAKHMANOV,RUS,4.100,7.48,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
3,NING,ZHANG,CHN,4.030,7.52,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
4,SERGEI,SINITCYN,RUS,4.040,9.14,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
5,ALEXANDR,NIGMATULIN,KAZ,4.110,7.41,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
6,LIBOR,HROZA,CZE,4.020,7.46,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
7,STANISLAV,KOKORIN,RUS,4.080,8.17,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
8,EVGENII,VAITSEKHOVSKII,RUS,4.050,fall,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
9,TOMASZ,OLEKSY,POL,4.140,7.71,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
10,JEDRZEJ,KOMOSINSKI,POL,4.060,7.80,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
11,CSABA,KOMONDI,HUN,4.120,7.95,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
12,MAKSYM,OSIPOV,UKR,4.130,8.03,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
13,LUKASZ,SWIRK,POL,4.070,8.16,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
14,MIKHAIL,YEKIMENKO,KAZ,4.160,8.66,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
15,XIAOJIE,CHEN,CHN,4.090,9.16,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
16,JIUN-JIE,TZENG,TPE,4.150,fall,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
17,GUANGPU,LI,CHN,8.440,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
18,IVAN,NOVIKOV,RUS,8.500,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
19,NIKITA,DEVYATERIKOV,KAZ,8.590,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
20,ALEXANDER,KOSTERIN,RUS,8.640,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
21,MAKSYM,STYENKOVYY,UKR,8.650,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
22,ARTYOM,DEVYATERIKOV,KAZ,8.670,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
23,VALERIY,VOROBYEV,RUS,8.830,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
24,EN-CHIH,LEE,TPE,8.970,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
25,YUHANG,ZHANG,CHN,8.980,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
26,ALEXEY,MOLCHANOV,KAZ,9.160,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
27,YEU-SHIANG,CHANG,TPE,9.480,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
28,ARTEM,AVDEENKO,KGZ,9.960,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
29,TONNY,MAMIRI,INA,10.680,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
30,ROLANDS,RUGENS,LAT,10.940,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
31,JERNEJ,KRUDER,SLO,12.120,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
32,C. M.,PRAVEEN,IND,13.160,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
33,SHIVALINGA M,MAHADEVA K,IND,14.150,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
34,ANDREAS,ANDREOU,CYP,34.150,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
35,CHI-WAI,LAI,HKG,fall,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
35,JILONG,QIU,CHN,fall,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
1,CUILIAN,HE,CHN,2.010,9.04,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
2,CUIFANG,HE,CHN,2.020,9.30,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
3,CHUNHUA,LI,CHN,2.030,9.38,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
4,KSENIIA,ALEKSEEVA,RUS,2.040,fall,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
5,YULIYA,LEVOCHKINA,RUS,2.050,10.83,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
6,ANNA,STENKOVAYA,RUS,2.060,10.90,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
7,DINARA,IRSALIYEVA,KAZ,2.070,11.90,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
8,OLGA,MOROZKINA,RUS,2.080,12.30,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
9,VALENTINA,YURINA,RUS,2.090,11.67,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
10,NATALIA,TITOVA,RUS,2.100,12.27,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
11,TAMARA,ULZHABAYEVA,KAZ,2.110,13.20,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
12,SVITLANA,TUZHYLINA,UKR,2.120,13.50,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
13,HUNG YING,LEE,TPE,2.130,13.68,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
14,LUCIE,HROZOVA,CZE,2.140,13.89,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
15,EDYTA,ROPEK,POL,2.150,fall,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
16,OLENA,RYEPKO,UKR,2.160,fall,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
17,DINARA,FAKHRITDINOVA,RUS,15.170,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
18,YEVGENIYA,SOBOLEVA,KAZ,15.740,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
19,YEKATERINA,BOGOLYUBOVA,KGZ,17.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
20,YULIYA,POPOVA,KAZ,17.140,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
21,ALIYA,ISKAKOVA,KAZ,19.830,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
22,XUHUA,PAN,CHN,fall,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
22,TATIANA,RUYGA,RUS,fall,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
1,ALEXANDR,NIGMATULIN,KAZ,2.000,2.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
2,QIXIN,ZHONG,CHN,wildcard,-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
3,IVAN,NOVIKOV,RUS,3.000,3.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
4,SERGEY,ABDRAKHMANOV,RUS,4.000,4.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
5,NING,ZHANG,CHN,5.000,5.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
6,SERGEI,SINITCYN,RUS,6.000,6.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
7,EVGENII,VAITSEKHOVSKII,RUS,7.000,7.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
8,LIBOR,HROZA,CZE,8.000,8.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
9,MAKSYM,STYENKOVYY,UKR,9.000,9.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
10,CSABA,KOMONDI,HUN,10.000,10.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
11,YEU-SHIANG,CHANG,TPE,11.000,11.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
12,JEDRZEJ,KOMOSINSKI,POL,12.000,12.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
13,GUANGPU,LI,CHN,13.000,13.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
14,ALEXANDER,KOSTERIN,RUS,14.000,14.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
15,STANISLAV,KOKORIN,RUS,15.000,15.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
16,YUHANG,ZHANG,CHN,16.000,16.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
17,JILONG,QIU,CHN,17.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
18,JIUN-JIE,TZENG,TPE,18.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
19,TOMASZ,OLEKSY,POL,19.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
20,LUKASZ,SWIRK,POL,20.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
21,MIKHAIL,YEKIMENKO,KAZ,21.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
22,LUCAS,PRETI,ITA,22.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
23,ALEXEY,MOLCHANOV,KAZ,23.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
24,XIAOJIE,CHEN,CHN,24.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
25,JIACUO,SUOLANG,CHN,25.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
26,HAIBIN,QU,CHN,26.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
27,ARTYOM,DEVYATERIKOV,KAZ,27.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
28,CHI-WAI,LAI,HKG,28.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
29,VALERIY,VOROBYEV,RUS,29.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
30,MAKSYM,OSIPOV,UKR,30.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
31,LUKA,KIVELA,CRO,31.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
32,EN-CHIH,LEE,TPE,32.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
33,VICTOR,KOZLOV,RUS,33.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
34,TONNY,MAMIRI,INA,34.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
35,ARTEM,AVDEENKO,KGZ,35.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
36,KREŠIMIR,MORIĆ,CRO,36.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
37,JERNEJ,KRUDER,SLO,37.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
38,MARTIN,JAGGI,SUI,38.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
39,NIKITA,DEVYATERIKOV,KAZ,39.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
40,ROLANDS,RUGENS,LAT,40.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
41,CÉDRIC,LACHAT,SUI,41.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
42,C. M.,PRAVEEN,IND,42.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
43,SEAN,MCCOLL,CAN,43.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
44,SHIVALINGA M,MAHADEVA K,IND,44.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
45,ERIC,LOPEZ MATEOS,ESP,45.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
45,JINYU,PAN,CHN,45.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
47,BLAGOVEST,LAZAROV,BUL,47.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
48,MATEJ,SVUB,SVK,48.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
49,KLEMEN,BECAN,SLO,49.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
50,SOSO,KATSITADZE,GEO,50.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
51,SEFTON,PRIESTLEY,NZL,51.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
52,ANDREAS,ANDREOU,CYP,52.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Men
1,CUILIAN,HE,CHN,wildcard,-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
2,CUIFANG,HE,CHN,2.000,2.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
3,CHUNHUA,LI,CHN,3.000,-,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
4,EDYTA,ROPEK,POL,4.000,4.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
5,XUHUA,PAN,CHN,5.000,5.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
6,YULIYA,LEVOCHKINA,RUS,6.000,6.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
7,VALENTINA,YURINA,RUS,7.000,7.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
8,OLENA,RYEPKO,UKR,8.000,8.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
9,OLGA,MOROZKINA,RUS,9.000,9.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
10,ANNA,STENKOVAYA,RUS,10.000,10.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
11,HUNG YING,LEE,TPE,11.000,11.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
12,NATALIA,TITOVA,RUS,12.000,12.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
13,KSENIIA,ALEKSEEVA,RUS,13.000,13.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
14,SVITLANA,TUZHYLINA,UKR,14.000,14.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
15,TATIANA,RUYGA,RUS,15.000,15.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
16,LUCIE,HROZOVA,CZE,16.000,16.00,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
17,DINARA,FAKHRITDINOVA,RUS,17.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
18,TAMARA,ULZHABAYEVA,KAZ,18.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
19,DINARA,IRSALIYEVA,KAZ,19.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
20,YEKATERINA,BOGOLYUBOVA,KGZ,20.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
21,PETRA,KLINGLER,SUI,21.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
22,YULIYA,POPOVA,KAZ,22.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
23,CHLOÉ,GRAFTIAUX,BEL,23.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
24,YEVGENIYA,SOBOLEVA,KAZ,24.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
25,OLGA,BIBIK,RUS,25.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
26,JENNY,LAVARDA,ITA,26.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
27,ALEXANDRA,EYER,SUI,27.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
28,CHRISTINA,SCHMID,SUI,28.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
29,HARINI,HARINI,INA,29.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
30,ALIYA,ISKAKOVA,KAZ,30.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
31,AKIYO,NOGUCHI,JPN,31.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
32,NATALIJA,GROS,SLO,32.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
33,MINA,MARKOVIC,SLO,33.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
34,SARAH,GILMOUR,NZL,34.000,,Qinghai_(CHN)_2009,30 June - 5 July 2009,Women
1,EVGENII,VAITSEKHOVSKII,RUS,8.060,7.35,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
2,SERGEI,SINITCYN,RUS,7.680,7.75,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
3,LIBOR,HROZA,CZE,8.090,7.94,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
4,TOMASZ,OLEKSY,POL,8.740,8.18,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
5,CSABA,KOMONDI,HUN,8.350,7.93,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
6,SERGEY,ABDRAKHMANOV,RUS,8.830,8.28,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
7,LUKASZ,SWIRK,POL,8.850,8.48,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
8,JEDRZEJ,KOMOSINSKI,POL,9.100,fall,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
9,LUCAS,PRETI,ITA,9.790,9.11,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
10,STANISLAV,KOKORIN,RUS,9.040,9.22,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
11,LEONARDO,GONTERO,ITA,12.640,11.10,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
12,MICHEL,SIROTTI,ITA,9.320,11.47,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
13,STEFANO,GHISOLFI,ITA,13.570,11.80,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
14,GYULA,JUHASZ,HUN,14.450,14.60,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
15,THOMAS,DUPIN,FRA,12.200,fall,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
16,SALAH,BOULBAHAIEM,BEL,16.740,,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
16,YOANN,LE COUSTER,FRA,16.740,,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
18,MACIEJ,KALITA,POL,fall,,Chamonix_(FRA)_2009,12 July - 13 July 2009,Men
1,EDYTA,ROPEK,POL,11.260,11.00,Chamonix_(FRA)_2009,12 July - 13 July 2009,Women
