Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,QIXIN,ZHONG,CHN,6.370,6.26,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
2,MARCIN,DZIENSKI,POL,6.480,7.01,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
3,BASSA,MAWEM,FRA,6.130,6.05,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
4,ARSENII,SHEVCHENKO,RUS,6.680,6.35,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
5,ALEKSANDR,SHILOV,RUS,6.550,6.97,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
6,JEDRZEJ,KOMOSINSKI,POL,6.440,7.19,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
7,SEAN,MCCOLL,CAN,8.110,8.29,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
8,JOHN,BROSLER,USA,7.040,fall,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
9,GUILLAUME,MORO,FRA,7.270,7.24,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
10,MAX,HAMMER,USA,7.470,7.41,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
11,TRISTEN,GOSSELIN,CAN,7.900,8.02,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
12,FRANCIS,BILODEAU,CAN,8.040,8.02,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
13,LIBOR,HROZA,CZE,5.830,false start,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
14,QUENTIN,NAMBOT,FRA,6.610,fall,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
15,ROBERT,STEWART-PATTERSON,CAN,6.660,fall,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
16,LEONARDO,GONTERO,ITA,7.340,fall,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
17,AARON,DI LALLO,CAN,8.430,,Central_Saanich_(CAN)_2015,17 May - 17 May 2015,Men
