Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,STANISLAV,KOKORIN,RUS,6.400,6.76,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
2,DANYIL,BOLDYREV,UKR,6.620,9.15,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
3,LIBOR,HROZA,CZE,6.320,6.25,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
4,EVGENII,VAITSEKHOVSKII,RUS,6.350,6.58,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
5,BASSA,MAWEM,FRA,6.380,6.11,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
6,MARCIN,DZIENSKI,POL,6.310,6.21,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
7,YAROSLAV,GONTARYK,UKR,6.570,6.52,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
8,QIXIN,ZHONG,CHN,6.340,7.33,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
9,ANTON,POLIAKOV,RUS,6.730,6.37,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
10,ASPAR,ASPAR,INA,6.830,6.45,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
11,ARSENII,SHEVCHENKO,RUS,6.830,6.56,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
12,SERGEI,SINITCYN,RUS,6.760,6.80,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
13,JEDRZEJ,KOMOSINSKI,POL,7.180,6.85,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
14,YOANN,LE COUSTER,FRA,7.950,7.10,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
15,LEONARDO,GONTERO,ITA,6.750,7.38,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
16,LINCAI,ZHONG,CHN,7.570,7.86,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
17,RISHAT,KHAIBULLIN,KAZ,8.050,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
18,ROBERT,STEWART-PATTERSON,CAN,8.610,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
19,BRYAN AMIAS,PILLAI,SGP,8.640,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
20,THATTANA,RAKSACHAT,THA,11.740,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
21,WINAI,RUANGRIT,THA,11.910,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
22,TERDPOL,ARTAUI,THA,12.610,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Men
1,IULIIA,KAPLINA,RUS,8.440,8.02,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
2,MARIIA,KRASAVINA,RUS,8.520,8.24,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
3,ANOUCK,JAUBERT,FRA,8.850,8.47,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
4,YULIYA,LEVOCHKINA,RUS,8.790,8.54,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
5,KLAUDIA,BUCZEK,POL,8.950,8.79,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
6,KSENIYA,POLEKHINA,RUS,9.020,8.93,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
7,ESTHER,BRUCKNER,FRA,9.170,9.28,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
8,ALEKSANDRA,MIROSLAW,POL,8.880,10.01,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
9,EDYTA,ROPEK,POL,9.650,8.84,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
10,ANNA,TSYGANOVA,RUS,9.260,8.97,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
11,MARGOT,HEITZ,FRA,9.020,9.09,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
12,SUPITA,TITA,INA,9.790,9.23,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
13,ALLA,MARENYCH,UKR,10.070,9.94,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
14,MONIKA,PROKOPIUK-KAWECKA,POL,10.120,10.06,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
15,ALINA,GAIDAMAKINA,RUS,9.330,10.92,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
16,ANASTASIIA,GOLIKOVA,RUS,9.600,fall,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
17,TAMARA,ULZHABAYEVA,KAZ,10.310,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
18,GRACE,MCKEEHAN,USA,10.690,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
19,XUHUA,PAN,CHN,11.580,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
20,LAMU,RENQING,CHN,11.610,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
21,VIRGITA,NADYA PUTRI,INA,15.580,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
22,PUNTARIKA,TUNYAVANICH,THA,16.930,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
23,PANKAEW,PLYPOOLSUP,THA,20.360,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
24,WANGMU,RENZENG,CHN,fall,,Chongqing_(CHN)_2014,26 April - 27 April 2014,Women
1,DANYIL,BOLDYREV,UKR,6.470,6.09,Baku_(AZE)_2014,3 May - 4 May 2014,Men
2,EVGENII,VAITSEKHOVSKII,RUS,6.700,7.30,Baku_(AZE)_2014,3 May - 4 May 2014,Men
3,QIXIN,ZHONG,CHN,6.450,6.39,Baku_(AZE)_2014,3 May - 4 May 2014,Men
4,BASSA,MAWEM,FRA,6.930,10.41,Baku_(AZE)_2014,3 May - 4 May 2014,Men
5,LIBOR,HROZA,CZE,6.350,7.74,Baku_(AZE)_2014,3 May - 4 May 2014,Men
6,STANISLAV,KOKORIN,RUS,6.470,false start,Baku_(AZE)_2014,3 May - 4 May 2014,Men
7,YAROSLAV,GONTARYK,UKR,6.670,fall,Baku_(AZE)_2014,3 May - 4 May 2014,Men
8,ARSENII,SHEVCHENKO,RUS,6.630,fall,Baku_(AZE)_2014,3 May - 4 May 2014,Men
9,LUKASZ,SWIRK,POL,6.770,6.66,Baku_(AZE)_2014,3 May - 4 May 2014,Men
10,LEONARDO,GONTERO,ITA,6.820,6.69,Baku_(AZE)_2014,3 May - 4 May 2014,Men
11,MARCIN,DZIENSKI,POL,6.480,6.81,Baku_(AZE)_2014,3 May - 4 May 2014,Men
12,JEDRZEJ,KOMOSINSKI,POL,7.220,6.97,Baku_(AZE)_2014,3 May - 4 May 2014,Men
13,VLADISLAV,DEULIN,RUS,6.960,7.04,Baku_(AZE)_2014,3 May - 4 May 2014,Men
14,REZA,ALIPOUR SHENAZANDIFARD,IRI,7.360,7.48,Baku_(AZE)_2014,3 May - 4 May 2014,Men
15,ANTON,POLIAKOV,RUS,6.870,7.97,Baku_(AZE)_2014,3 May - 4 May 2014,Men
16,SERGEI,SINITCYN,RUS,6.940,false start,Baku_(AZE)_2014,3 May - 4 May 2014,Men
17,YOANN,LE COUSTER,FRA,7.410,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
18,MOHSEN,SHAFIEI,IRI,7.680,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
19,GOGI,CHARTOLANI,GEO,9.370,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
20,GIGA,JANKHOTELI,GEO,9.910,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
21,GIORGI,MUKBANIANI,GEO,11.850,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
22,MAMUKA,KHUTSISHVILI,GEO,11.880,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
23,RAMEL,RAHIMKHANOV,AZE,13.440,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
24,ZOHRAB,SHAHBALAYE,AZE,15.140,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
25,CHINGIZ,TAGHIZADE,AZE,false start,,Baku_(AZE)_2014,3 May - 4 May 2014,Men
1,MARIIA,KRASAVINA,RUS,8.700,8.55,Baku_(AZE)_2014,3 May - 4 May 2014,Women
2,IULIIA,KAPLINA,RUS,8.610,fall,Baku_(AZE)_2014,3 May - 4 May 2014,Women
3,ANOUCK,JAUBERT,FRA,9.030,8.73,Baku_(AZE)_2014,3 May - 4 May 2014,Women
4,ALEKSANDRA,MIROSLAW,POL,8.770,fall,Baku_(AZE)_2014,3 May - 4 May 2014,Women
5,YULIYA,LEVOCHKINA,RUS,9.100,8.83,Baku_(AZE)_2014,3 May - 4 May 2014,Women
6,ALINA,GAIDAMAKINA,RUS,9.470,8.91,Baku_(AZE)_2014,3 May - 4 May 2014,Women
7,KLAUDIA,BUCZEK,POL,9.060,9.25,Baku_(AZE)_2014,3 May - 4 May 2014,Women
8,ANNA,TSYGANOVA,RUS,9.480,11.61,Baku_(AZE)_2014,3 May - 4 May 2014,Women
9,KSENIYA,POLEKHINA,RUS,10.120,8.79,Baku_(AZE)_2014,3 May - 4 May 2014,Women
10,MARGOT,HEITZ,FRA,9.110,9.37,Baku_(AZE)_2014,3 May - 4 May 2014,Women
11,ESTHER,BRUCKNER,FRA,9.510,9.45,Baku_(AZE)_2014,3 May - 4 May 2014,Women
12,FARNAZ,ESMAEILZADEH,IRI,9.750,9.55,Baku_(AZE)_2014,3 May - 4 May 2014,Women
13,EDYTA,ROPEK,POL,9.310,9.83,Baku_(AZE)_2014,3 May - 4 May 2014,Women
14,ALEXANDRA,ELMER,AUT,9.980,10.08,Baku_(AZE)_2014,3 May - 4 May 2014,Women
15,MONIKA,PROKOPIUK-KAWECKA,POL,10.280,11.09,Baku_(AZE)_2014,3 May - 4 May 2014,Women
16,ALLA,MARENYCH,UKR,10.310,11.41,Baku_(AZE)_2014,3 May - 4 May 2014,Women
17,NINA,LACH,AUT,11.080,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
18,GRACE,MCKEEHAN,USA,11.650,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
19,ELNAZ,REKABI,IRI,12.080,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
20,REYHAN,MAMMADOVA,AZE,23.810,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
21,AYSEL,SULTANOVA,AZE,26.840,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
22,SIMA,SEFEROVA,AZE,fall,,Baku_(AZE)_2014,3 May - 4 May 2014,Women
1,QIXIN,ZHONG,CHN,6.210,6.03,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
2,MARCIN,DZIENSKI,POL,6.330,6.45,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
3,DANYIL,BOLDYREV,UKR,6.520,6.11,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
4,EVGENII,VAITSEKHOVSKII,RUS,6.690,6.26,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
5,ASPAR,ASPAR,INA,6.560,6.54,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
6,STANISLAV,KOKORIN,RUS,6.320,7.03,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
7,BASSA,MAWEM,FRA,6.310,7.32,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
8,LIBOR,HROZA,CZE,6.030,7.82,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
9,ARSENII,SHEVCHENKO,RUS,6.930,6.49,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
10,DMITRII,TIMOFEEV,RUS,6.700,6.669,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
11,ASHARI,FAJRI,INA,6.900,6.88,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
12,ARDI,WINOTO,INA,7.800,7.28,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
13,SERGEI,SINITCYN,RUS,6.950,7.82,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
14,SUNGJOON,CHAE,KOR,7.920,8.02,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
15,VIACHESLAV,VEDENCHUK,RUS,6.950,9.45,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
16,HYUNJAE,KIM,KOR,7.960,12.29,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
17,SEUNGBIN,CHOI,KOR,8.130,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
18,HONGIL,KIM,KOR,8.420,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
19,LINCAI,ZHONG,CHN,8.450,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
20,SEAN,MCCOLL,CAN,9.320,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Men
1,MARIIA,KRASAVINA,RUS,8.570,8.35,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
2,IULIIA,KAPLINA,RUS,8.670,fall,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
