Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.860,5.82,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
2,VLADISLAV,DEULIN,RUS,6.020,6.87,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
3,VEDDRIQ,LEONARDO,INA,6.030,wildcard,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
4,HINAYAH,MUHAMMAD,INA,6.230,false start,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
5,JAN,KRIZ,CZE,6.260,6.11,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
6,LUDOVICO,FOSSALI,ITA,6.080,6.44,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
7,SABRI,SABRI,INA,6.020,false start,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
8,LEONARDO,GONTERO,ITA,6.280,false start,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
9,PANGERAN,SEPTO WIBOWO SIBURIAN,INA,6.160,6.11,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
10,ALESSANDRO,SANTONI,ITA,6.210,6.17,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
11,STANISLAV,KOKORIN,RUS,6.030,6.26,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
12,JINXIN,LI,CHN,6.290,6.78,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
13,ASPAR,ASPAR,INA,5.920,7.87,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
14,ALEKSANDR,SHIKOV,RUS,5.980,8.00,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
15,DMITRII,TIMOFEEV,RUS,5.970,10.42,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
16,AMIR,MAIMURATOV,KAZ,6.200,false start,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
17,KOSTIANTYN,PAVLENKO,UKR,6.300,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
18,EHSAN,ASRAR,IRI,6.320,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
19,ALFIAN,MUHAMMAD FAJRI,INA,6.340,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
20,YULIANTO,ABUDZAR,INA,6.470,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
20,ARTEM,KHABIBULLIN,RUS,6.470,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
22,RUSLAN,FAIZULLIN,RUS,6.480,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
23,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,6.490,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
24,TAGIR,IZMAILOV,RUS,6.530,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
25,LEV,RUDATSKIY,RUS,6.550,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
26,VLADISLAV,TERLEEV,RUS,6.620,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
27,MARCIN,DZIENSKI,POL,6.670,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
28,PORYA,KARIM POUR,IRI,6.680,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
29,GIAN LUCA,ZODDA,ITA,6.710,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
30,ALMAZ,NAGAEV,RUS,6.820,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
31,EDUARD,DAUKAEV,RUS,6.830,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
32,MICHAEL,FINN-HENRY,USA,6.840,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
33,MOHAMMAD REZA,EHTESHAM NIA,IRI,6.880,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
