Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,SERGEI,SINITCYN,RUS,7.010,6.65,Milano_(ITA)_2011,14 April - 17 April 2011,Men
2,EVGENII,VAITSEKHOVSKII,RUS,7.360,fall,Milano_(ITA)_2011,14 April - 17 April 2011,Men
3,LIBOR,HROZA,CZE,7.010,6.93,Milano_(ITA)_2011,14 April - 17 April 2011,Men
4,LUKASZ,SWIRK,POL,7.230,10.38,Milano_(ITA)_2011,14 April - 17 April 2011,Men
5,JEDRZEJ,KOMOSINSKI,POL,7.290,6.94,Milano_(ITA)_2011,14 April - 17 April 2011,Men
6,ZUFAR,NIGMANOV,RUS,8.230,7.25,Milano_(ITA)_2011,14 April - 17 April 2011,Men
7,ALEXANDR,NIGMATULIN,KAZ,7.830,7.43,Milano_(ITA)_2011,14 April - 17 April 2011,Men
8,STANISLAV,KOKORIN,RUS,7.320,9.22,Milano_(ITA)_2011,14 April - 17 April 2011,Men
9,ARSENII,SHEVCHENKO,RUS,7.680,8.11,Milano_(ITA)_2011,14 April - 17 April 2011,Men
10,MAKSYM,STYENKOVYY,UKR,7.620,8.20,Milano_(ITA)_2011,14 April - 17 April 2011,Men
11,SAYAT,BOKANOV,KAZ,7.790,8.82,Milano_(ITA)_2011,14 April - 17 April 2011,Men
12,SERGEY,ABDRAKHMANOV,RUS,7.170,8.93,Milano_(ITA)_2011,14 April - 17 April 2011,Men
13,IVAN,NOVIKOV,RUS,6.700,9.77,Milano_(ITA)_2011,14 April - 17 April 2011,Men
14,LEONARDO,GONTERO,ITA,7.930,10.33,Milano_(ITA)_2011,14 April - 17 April 2011,Men
15,YAROSLAV,GONTARYK,UKR,7.750,11.41,Milano_(ITA)_2011,14 April - 17 April 2011,Men
16,ALEXEY,MOLCHANOV,KAZ,8.070,fall,Milano_(ITA)_2011,14 April - 17 April 2011,Men
17,STEFANO,GHISOLFI,ITA,8.330,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
