Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,EVGENII,VAITSEKHOVSKII,RUS,7.490,6.93,Trento_(ITA)_2010,30 April - 1 May 2010,Men
2,STANISLAV,KOKORIN,RUS,8.060,7.20,Trento_(ITA)_2010,30 April - 1 May 2010,Men
3,LIBOR,HROZA,CZE,7.740,7.37,Trento_(ITA)_2010,30 April - 1 May 2010,Men
4,IVAN,NOVIKOV,RUS,8.230,13.02,Trento_(ITA)_2010,30 April - 1 May 2010,Men
5,SERGEY,ABDRAKHMANOV,RUS,7.800,7.06,Trento_(ITA)_2010,30 April - 1 May 2010,Men
6,LUKASZ,SWIRK,POL,8.140,7.72,Trento_(ITA)_2010,30 April - 1 May 2010,Men
7,MAKSYM,STYENKOVYY,UKR,7.690,8.01,Trento_(ITA)_2010,30 April - 1 May 2010,Men
8,JEDRZEJ,KOMOSINSKI,POL,7.640,9.76,Trento_(ITA)_2010,30 April - 1 May 2010,Men
9,MANUEL,ESCOBAR,VEN,8.680,8.02,Trento_(ITA)_2010,30 April - 1 May 2010,Men
10,CSABA,KOMONDI,HUN,8.150,8.09,Trento_(ITA)_2010,30 April - 1 May 2010,Men
11,MAKSYM,OSIPOV,UKR,8.100,8.25,Trento_(ITA)_2010,30 April - 1 May 2010,Men
12,OLEKSIY,YURKO,UKR,8.830,8.29,Trento_(ITA)_2010,30 April - 1 May 2010,Men
13,LEONEL,DE LAS SALAS,VEN,8.740,9.51,Trento_(ITA)_2010,30 April - 1 May 2010,Men
14,STEFANO,GHISOLFI,ITA,9.710,9.73,Trento_(ITA)_2010,30 April - 1 May 2010,Men
15,JOSMAR,NIEVES,VEN,9.700,11.90,Trento_(ITA)_2010,30 April - 1 May 2010,Men
16,SERGEI,SINITCYN,RUS,7.850,fall,Trento_(ITA)_2010,30 April - 1 May 2010,Men
17,LEONARDO,GONTERO,ITA,10.190,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
18,JAKUB,POCIECHA,POL,10.200,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
19,HUBERT,STYLA,POL,10.690,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
20,BENCE,GÁL,HUN,10.810,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
21,MÁTÉ,GÁL,HUN,11.090,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
22,SALAH,BOULBAHAIEM,BEL,12.530,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
22,GYULA,JUHASZ,HUN,12.530,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
24,ISAAC,ESTEVEZ,ECU,12.690,,Trento_(ITA)_2010,30 April - 1 May 2010,Men
1,YULIYA,LEVOCHKINA,RUS,11.530,10.43,Trento_(ITA)_2010,30 April - 1 May 2010,Women
2,KSENIIA,ALEKSEEVA,RUS,11.510,12.64,Trento_(ITA)_2010,30 April - 1 May 2010,Women
3,EDYTA,ROPEK,POL,12.280,10.93,Trento_(ITA)_2010,30 April - 1 May 2010,Women
4,OLGA,EVSTIGNEEVA,RUS,11.810,12.57,Trento_(ITA)_2010,30 April - 1 May 2010,Women
5,LUCELIA,BLANCO,VEN,12.130,11.73,Trento_(ITA)_2010,30 April - 1 May 2010,Women
6,EKATERINA,BOYARSKIKH,RUS,12.800,12.69,Trento_(ITA)_2010,30 April - 1 May 2010,Women
7,SARA,MORANDI,ITA,12.410,13.42,Trento_(ITA)_2010,30 April - 1 May 2010,Women
8,OLENA,SHEREMETYEVA,UKR,12.700,fall,Trento_(ITA)_2010,30 April - 1 May 2010,Women
9,OLEKSANDRA,BUD GUSAIM,UKR,13.100,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
10,ANASTASIYA,SAVISKO,UKR,13.280,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
11,JESSICA,MORANDI,ITA,13.310,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
12,ANNA,KOLOKOVSKA,UKR,13.680,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
13,OLENA,RYEPKO,UKR,13.970,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
14,KARINA,MIROSLAW,POL,14.150,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
15,MONIKA,PROKOPIUK-KAWECKA,POL,14.290,,Trento_(ITA)_2010,30 April - 1 May 2010,Women
1,STANISLAV,KOKORIN,RUS,19.980,14.03,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
2,EVGENII,VAITSEKHOVSKII,RUS,18.570,14.57,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
3,MAKSYM,OSIPOV,UKR,19.690,16.49,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
4,JOSMAR,NIEVES,VEN,19.190,17.59,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
5,SERGEI,SINITCYN,RUS,17.640,15.00,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
6,QIXIN,ZHONG,CHN,19.460,18.22,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
7,SERGEY,ABDRAKHMANOV,RUS,17.680,19.24,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
8,ZUFAR,NIGMANOV,RUS,19.530,19.82,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
9,MANUEL,ESCOBAR,VEN,19.710,15.75,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
10,IVAN,NOVIKOV,RUS,20.470,18.34,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
11,TOMASZ,OLEKSY,POL,20.120,18.78,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
12,ARTEM,SAVELYEV,RUS,20.390,18.91,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
13,NING,ZHANG,CHN,20.550,19.52,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
14,ARMAN,TER-MINASYAN,RUS,21.160,20.37,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
15,DANYIL,BOLDYREV,UKR,21.310,20.53,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
16,CSABA,KOMONDI,HUN,20.860,fall,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
17,ALEXANDER,KOSTERIN,RUS,21.570,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
18,VAGINAK,SIREKANYAN,RUS,21.980,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
19,ROLANDS,RUGENS,LAT,22.180,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
20,EVGENY,ASTASHKIN,RUS,22.530,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
21,ARSENII,SHEVCHENKO,RUS,22.800,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
22,NIKITA,DEVYATERIKOV,KAZ,22.830,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
23,IVAN,KAUROV,RUS,23.120,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
24,ARTYOM,DEVYATERIKOV,KAZ,23.150,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
25,VALERIY,VOROBYEV,RUS,23.230,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
26,YURY,NOVITSKIY,RUS,23.350,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
27,OLEKSANDR,SALIMOV,UKR,23.850,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
28,JIACUO,SUOLANG,CHN,23.950,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
29,LUKASZ,SWIRK,POL,23.960,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
30,PAVLO,FOYGEL,UKR,24.040,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
31,VASILY,KOZLOV,RUS,24.420,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
32,JEDRZEJ,KOMOSINSKI,POL,24.620,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
33,STEFANO,GHISOLFI,ITA,25.450,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
34,YAROSLAV,TOPAL,UKR,26.070,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
35,EGOR,SKACHKOV,RUS,26.140,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
36,ALEXEY,ERIKOV,RUS,27.230,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
37,VLADIMIR,MUSICH,RUS,27.630,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
38,MÁTÉ,GÁL,HUN,29.470,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
39,DMITRY,KARAVAEV,BLR,29.660,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
40,SERGEY,SOKOLOV,RUS,31.900,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
41,GYULA,JUHASZ,HUN,35.310,,Moscow_(RUS)_2010,17 June - 21 June 2010,Men
