Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,EVGENII,VAITSEKHOVSKII,RUS,16.830,12.58,Trento_(ITA)_2008,27 April - 27 April 2008,Men
2,SERGEI,SINITCYN,RUS,16.580,13.59,Trento_(ITA)_2008,27 April - 27 April 2008,Men
3,MANUEL,ESCOBAR,VEN,15.110,13.13,Trento_(ITA)_2008,27 April - 27 April 2008,Men
4,MAKSYM,STYENKOVYY,UKR,15.990,13.19,Trento_(ITA)_2008,27 April - 27 April 2008,Men
5,LEONEL,DE LAS SALAS,VEN,18.620,15.18,Trento_(ITA)_2008,27 April - 27 April 2008,Men
6,MAKSYM,OSIPOV,UKR,18.580,15.37,Trento_(ITA)_2008,27 April - 27 April 2008,Men
7,OLEKSANDR,SALIMOV,UKR,18.590,15.41,Trento_(ITA)_2008,27 April - 27 April 2008,Men
8,OLEXIY,SHULGA,UKR,18.910,17.23,Trento_(ITA)_2008,27 April - 27 April 2008,Men
9,ALEXANDER,KOSTERIN,RUS,19.240,14.33,Trento_(ITA)_2008,27 April - 27 April 2008,Men
10,IVAN,SHYSHKOVSKYY,UKR,19.970,16.52,Trento_(ITA)_2008,27 April - 27 April 2008,Men
11,CSABA,KOMONDI,HUN,19.420,16.65,Trento_(ITA)_2008,27 April - 27 April 2008,Men
12,ALEXANDER,PESHEKHONOV,RUS,19.310,16.87,Trento_(ITA)_2008,27 April - 27 April 2008,Men
13,LIBOR,HROZA,CZE,18.620,17.28,Trento_(ITA)_2008,27 April - 27 April 2008,Men
14,NESTOR,CARVAJAL,VEN,18.660,18.78,Trento_(ITA)_2008,27 April - 27 April 2008,Men
15,TOMASZ,OLEKSY,POL,18.700,18.87,Trento_(ITA)_2008,27 April - 27 April 2008,Men
16,ALEXANDR,SHAULSKIY,RUS,18.000,19.25,Trento_(ITA)_2008,27 April - 27 April 2008,Men
17,LUKASZ,SWIRK,POL,20.100,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
18,ANATOLY,SKRIPOV,RUS,20.170,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
19,VALERIY,VOROBYEV,RUS,20.830,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
20,JEDRZEJ,KOMOSINSKI,POL,21.780,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
21,MICHEL,SIROTTI,ITA,24.980,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
22,LUCAS,PRETI,ITA,25.030,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
23,MATTHIAS,SCHMIDL,ITA,26.110,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
24,MARK,AMANN,AUT,27.550,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
25,SALAH,BOULBAHAIEM,BEL,29.410,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
26,PAUL,STADLOBER,AUT,31.780,,Trento_(ITA)_2008,27 April - 27 April 2008,Men
1,LUCELIA,BLANCO,VEN,28.440,21.57,Trento_(ITA)_2008,27 April - 27 April 2008,Women
2,EDYTA,ROPEK,POL,28.400,23.32,Trento_(ITA)_2008,27 April - 27 April 2008,Women
